probe	group	case	expected	observed	status
about-placement	ordinary	no host window at all	the dialog opens wholly inside the work area of its monitor	dialog 1023,447 513x497; work area 0,0 to 2560,1392; INSIDE	PASS
about-placement	ordinary	Illustrator in the middle of the primary monitor	the dialog opens wholly inside the work area of its monitor	dialog 1023,447 513x497; work area 0,0 to 2560,1392; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator in the middle of the primary monitor	recorded to show which cases discriminate; not a threshold	centring alone gives 1023,447, which is inside the work area; the clamp changed nothing	MEASURED
about-placement	centred on the host	Illustrator in the middle of the primary monitor	with no clamping needed, the dialog centre sits on the host centre	off by 0.5 px across and 0.5 px down	PASS
about-placement	against an edge	Illustrator mostly off the left edge	the dialog opens wholly inside the work area of its monitor	dialog 0,301 513x497; work area 0,0 to 2560,1392; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator mostly off the left edge	recorded to show which cases discriminate; not a threshold	centring alone gives -607,301, which is OUTSIDE the work area; the clamp moved the window	MEASURED
about-placement	against an edge	Illustrator mostly off the right edge	the dialog opens wholly inside the work area of its monitor	dialog 2653,301 513x497; work area 2560,-497 to 4000,2015; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator mostly off the right edge	recorded to show which cases discriminate; not a threshold	centring alone gives 2653,301, which is inside the work area; the clamp changed nothing	MEASURED
about-placement	centred on the host	Illustrator mostly off the right edge	with no clamping needed, the dialog centre sits on the host centre	off by 0.5 px across and 0.5 px down	PASS
about-placement	against an edge	Illustrator mostly off the top edge	the dialog opens wholly inside the work area of its monitor	dialog 393,0 513x497; work area 0,0 to 2560,1392; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator mostly off the top edge	recorded to show which cases discriminate; not a threshold	centring alone gives 393,-499, which is OUTSIDE the work area; the clamp moved the window	MEASURED
about-placement	against an edge	Illustrator mostly off the bottom edge, over the taskbar	the dialog opens wholly inside the work area of its monitor	dialog 621,1440 513x497; work area 621,1440 to 2541,2472; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator mostly off the bottom edge, over the taskbar	recorded to show which cases discriminate; not a threshold	centring alone gives 393,1393, which is OUTSIDE the work area; the clamp moved the window	MEASURED
about-placement	against an edge	Illustrator's centre 60 px from the left edge	the dialog opens wholly inside the work area of its monitor	dialog 0,301 513x497; work area 0,0 to 2560,1392; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator's centre 60 px from the left edge	recorded to show which cases discriminate; not a threshold	centring alone gives -197,301, which is OUTSIDE the work area; the clamp moved the window	MEASURED
about-placement	a second monitor	Illustrator in the middle of \\.\DISPLAY2	the dialog opens wholly inside the work area of its monitor	dialog 1324,1707 513x497; work area 621,1440 to 2541,2472; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator in the middle of \\.\DISPLAY2	recorded to show which cases discriminate; not a threshold	centring alone gives 1324,1707, which is inside the work area; the clamp changed nothing	MEASURED
about-placement	centred on the host	Illustrator in the middle of \\.\DISPLAY2	with no clamping needed, the dialog centre sits on the host centre	off by 0.5 px across and 0.5 px down	PASS
about-placement	a second monitor	Illustrator against the bottom-right of \\.\DISPLAY2	the dialog opens wholly inside the work area of its monitor	dialog 2028,1975 513x497; work area 621,1440 to 2541,2472; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator against the bottom-right of \\.\DISPLAY2	recorded to show which cases discriminate; not a threshold	centring alone gives 2634,2473, which is OUTSIDE the work area; the clamp moved the window	MEASURED
about-placement	a monitor with a negative origin	Illustrator in the middle of \\.\DISPLAY3	the dialog opens wholly inside the work area of its monitor	dialog 3023,510 513x497; work area 2560,-497 to 4000,2015; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator in the middle of \\.\DISPLAY3	recorded to show which cases discriminate; not a threshold	centring alone gives 3023,510, which is inside the work area; the clamp changed nothing	MEASURED
about-placement	centred on the host	Illustrator in the middle of \\.\DISPLAY3	with no clamping needed, the dialog centre sits on the host centre	off by 0.5 px across and 0.5 px down	PASS
about-placement	a monitor with a negative origin	Illustrator against the bottom-right of \\.\DISPLAY3	the dialog opens wholly inside the work area of its monitor	dialog 3487,1518 513x497; work area 2560,-497 to 4000,2015; INSIDE	PASS
about-placement	the placement before 1.0.4	Illustrator against the bottom-right of \\.\DISPLAY3	recorded to show which cases discriminate; not a threshold	centring alone gives 4093,2016, which is OUTSIDE the work area; the clamp moved the window	MEASURED
